iter	RMSE
0	0.1196855285
1	0.1152114932
2	0.1110338328
3	0.1069727053
4	0.1031038038
5	0.09947489432
6	0.09607750527
7	0.09269389151
8	0.0897157862
9	0.08681063767
10	0.08401668445
11	0.08128887791
12	0.07874016161
13	0.07644992647
14	0.07421811576
15	0.07195320624
16	0.06981050843
17	0.067840611
18	0.06612752646
19	0.06438811392
20	0.06274191505
21	0.06111099835
22	0.05966205251
23	0.05830127505
24	0.05704598306
25	0.05587637212
26	0.05476577953
27	0.05373974549
28	0.05257902132
29	0.05165649285
30	0.05070013571
31	0.04982280428
32	0.04902739578
33	0.04817945052
34	0.04742099645
35	0.04666531203
36	0.04596251257
37	0.04534530956
38	0.04465622597
39	0.04399780164
40	0.04350433908
41	0.04298556451
42	0.04245545313
43	0.04200501168
44	0.0415522853
45	0.04113436673
46	0.04078875494
47	0.04043167501
48	0.04004388838
49	0.0397165987
50	0.03932250783
51	0.03899933558
52	0.03868423593
53	0.03837905872
54	0.03801570061
55	0.03773873276
56	0.03748757021
57	0.03731327962
58	0.03711246739
59	0.03685971925
60	0.03667844923
61	0.03651131379
62	0.03628909936
63	0.03611585126
64	0.03595384762
65	0.03580025935
66	0.03565428058
67	0.03551320371
68	0.0353645912
69	0.03522493843
70	0.03509528354
71	0.03494446681
72	0.03480035926
73	0.03470428545
74	0.03456457389
75	0.03443403427
76	0.03435149347
77	0.03421971621
78	0.03412071711
79	0.0340247261
80	0.03393930558
81	0.03386309032
82	0.03377725542
83	0.03371930807
84	0.03366101495
85	0.03358275628
86	0.03352848567
87	0.03344137139
88	0.03327519898
89	0.0332052623
90	0.03307502959
91	0.0330154553
92	0.03294846245
93	0.03286250618
94	0.03274068893
95	0.03266497996
96	0.03260173733
97	0.03254610367
98	0.03249217341
99	0.03246714546
100	0.03243047724
101	0.0323741282
102	0.03231244709
103	0.0322623833
104	0.03221584869
105	0.03216717013
106	0.03203275739
107	0.0319766881
108	0.03190134511
109	0.03187195294
110	0.03182841403
111	0.03178359183
112	0.03174716079
113	0.03171679948
114	0.03167350676
115	0.0316389296
116	0.03160217669
117	0.03156657941
118	0.03154167059
119	0.03148786788
120	0.03141935049
121	0.03139481444
122	0.03134111184
123	0.0313026564
124	0.03124009612
125	0.03117383889
126	0.03114912935
127	0.03110572692
128	0.03100660227
129	0.03098608116
130	0.0309380592
131	0.03089070009
132	0.03086895329
133	0.03085570002
134	0.03079593528
135	0.03075178757
136	0.03072718985
137	0.03067459293
138	0.03061334274
139	0.03056252436
140	0.03053977411
141	0.03049852518
142	0.03044927595
143	0.03040467664
144	0.03036962729
145	0.03033261838
146	0.03028557452
147	0.03026670793
148	0.03022376233
149	0.03020445487
150	0.0301865213
151	0.03014669695
152	0.03004897385
153	0.02995576889
154	0.02993722147
155	0.0299120471
156	0.02982896155
157	0.02979407935
158	0.02978113454
159	0.02975081323
160	0.02970499462
161	0.02963979351
162	0.02958957243
163	0.02950872695
164	0.02945258585
165	0.02942722227
166	0.02940339665
167	0.02938377863
168	0.0293482964
169	0.02931294081
170	0.0292627159
171	0.02921857862
172	0.02919603251
173	0.0291649038
174	0.02910317038
175	0.02908289114
176	0.0290230188
177	0.0289876923
178	0.02892086457
179	0.02886506266
180	0.02883897214
181	0.02880943623
182	0.02874490211
183	0.02872300873
184	0.02868018997
