CID,SMILES
55672959,CC1CC1C2=CC=C(O2)CN(C3CC3)C(=O)CSC4=NN=C(N4CC5=CC=CC=C5)C6=CC=CO6
30820455,CC(C)(C)[C@@H](CN1CCN(CC1)C)N
117882146,CN1C(=C(C=N1)C#CC2=CC3=C(S2)C(=C(S3)C4(CC4)C(=O)O)OC)NC(=O)OCC5=CC=CC=C5
60466353,C1CCN(C1)C(CNS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)C3=CC=CC=C3
9172142,CCC[NH+](CC1=NN=C(O1)C2=CC=CO2)CC(=O)NC3=CC=CC=C3C(=O)NC4CC4
82961228,CCOCCN(CCOCC)CC(C#N)N
174070141,CC1=CC(=CC(=C1C(C)C=C)/C=C/C2=CC(=C(C=C2)OCOCC[Si](C)(C)C)OC)OCOCC[Si](C)(C)C
129549600,COC[C@@H]1CN(CC12CCN(CC2)CC3=CC=CC=C3)CC4CCOCC4
41254274,C[C@@]1(C(=O)N(C(=O)N1)CC(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3)C4=CC5=C(C=C4)OCCCO5
165854963,CC(CCN)C1=C(C(=CC=C1)[N+](=O)[O-])F
112681797,CC1(CC(CC(C1)(C)C)NCC2=CC=CO2)C
4872911,C1=CC=C(C=C1)C2=C(C=C3C(=C(SC3=N2)N)O)C(=O)NC4=CC=CC=C4
167732820,CC1CCCCC1(CN)NCC2=CC3=C(CN(C3=O)C4CCC(=O)NC4=O)C=C2
133057296,CC1=C(C=CN(C1OC)C)Cl
57849041,C1=CC=C2C(=C1)C(=CN2S(=O)(=O)C3=CC=C(C=C3)C(=O)NCC4=CC=C(C=C4)F)C5=CSC=C5
123767276,CCN(C)C(=C([N+](=C)C)Cl)Cl
138127703,CCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCC/C=C\CCCCCCCC(=O)NC(CO)C(CCCCCCCCCCC)O
15802388,CC1=C(C(=CC=C1)C)OCCCCOC2=C(C=CC=C2C)C
44080551,CC1=C2C(=CC(=C1OC)/C(=C/C(=O)NCC3=CC4=C(C=C3)OCO4)/C)C(=CO2)C5=CC=C(C=C5)Cl
55246059,CC1=C(C(=CC=C1)C(=O)NC2CCC(=O)NC2)N
164786335,C1=CC=C(C(=C1)C2=C3C(=C([C-]=C2)C4=CC=CC=N4)OC5=CC=CC=C5O3)C6=CC(=CC(=C6)CCC7=CC(=C([C-]=C7)C8=CC=CC=N8)F)CCC9=CC(=C([C-]=C9)C1=CC=CC=N1)F.[Ir+3]
3698066,CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)Br)NC(=O)CCCC(=O)NC3=C(C(=CS3)C4=CC=C(C=C4)Br)C(=O)OCC
116350573,C1CC1S(=O)(=O)NC2(CC2)CN
169101586,CC1=C2CCCN(C2=NN=C1NC3=NC4=CC=CC=C4S3)C5=NC(=C(C=C5)C6=C(N(N=C6)CC78CC9(CC(C7)(CC(C9)(C8)OCC[N+]1(CCCCC1)CC1=CC=C(C=C1)NC(=O)[C@H](CCCNC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)CCOCCN1C(=O)C=CC1=O)C)C)C)C(=O)O
159975690,CC1=CC2=C(C3=C1OC(C=C3)(C)CCC=C(C)C)NC4=C2C=CC(=C4)O[Si](C)(C)C(C)(C)C
47034401,CC(C)C(=O)NC1=CC=C(C=C1)C2=CSC(=N2)CCN3CCOC3=O
131670266,CC(C)N1C2CN(CC2N(C3=C(S1(=O)=O)C=CC=N3)C)C
160631693,B1(OC(C(O1)(C)C)(C)C)C2=C(ON=C2C)C.CC1=C(C(=NO1)C)C2=C(C3=C(N2)C=CC(=C3)OC)C=O.COC1=CC2=C(C=C1)NC(=C2C=O)Br
132642589,CCC(C(=O)NC(C)(C)C)N(CC1=CC(=CC=C1)OC)C(=O)CN(C2=CC=C(C=C2)OC3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4
69151510,CS(=O)(=O)C1=CC=CC(=C1)N2C=C3C(=N2)N=C(N(C3=O)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)C6=CN=C(C=N6)N
175593114,CC1=C(C=CC(=C1)F)OC2=C(C=CC(=C2)C(F)(F)F)C(=O)NC3=C(C(=C(C=C3)OCCNC(=O)O)C=O)N=C(N)N
65413949,CCC1CCCC(C1)C(CC2=CN(N=C2)CC)NCC
133562280,CCC(C)C(=O)O[C@@H]1C[C@@]([C@]23[C@H]([C@H](C[C@H]([C@]2([C@@H]1OC(=O)C(C)CC)COC(=O)C)OC(=O)C4=CC=CC=C4)C(O3)(C)C)OC(=O)C)(C)O
173345492,CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CCOC(=O)C.CO.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl.C(Cl)Cl
58091938,CC(=C)C(=O)OCCOC(=O)C1=CC2=C(C=C1)C=C(C=C2)O
67414153,C1C2=CC=CC=C2C3=C1C(=CC=C3)C4=C5C=C6C=CC(=N6)C=C7C=CC(=N7)C=C8C=CC(=CC(=C4)N5)N8
114280669,CCCC1(CCN(CC1)C(=O)OC(C)(C)C)CNC2CCS(=O)CC2
78993935,CN(CC1=CC=CC=C1C(=O)OC)CC2=CC=CC=C2Br
143303075,CC1=NC(=C(C(=N1)NC=O)/C=C\C2=C(C=CC=C2F)F)C3=CC(=CC=C3)C(=O)N
17121501,CC1=C(N=NC2=C(C(=NN12)C)C3=CC=C(C=C3)OC)C(=O)N4CCOCC4
133193858,CC1=CC=CC=C1OCC(=O)N(CC2=C(C=CC=C2Cl)Cl)C(CC3=CC=CC=C3)C(=O)NC(C)(C)C
71152914,CN(C1=NC=C2C(=N1)OCCO2)C34CCC(CC3)(OC4)C(CC5=C6C(=NC=C5F)C=CC(=N6)OC)O
84004619,C1C(CN(CC1N)C2=CC(=CC=C2)Cl)CC3=CC(=CC=C3)F
142170989,CCC1CC1C2CC3(C(C2C(CCCC(C)C)C(=O)NCCCCCCCCNCCCCCCCN)CC(C4C3(CCC5C4(CCC(C5C)O)C)C)O)C
88950752,C1=CC=C(C=C1)C2=CC(=C(C=C2)C3=C4C=CC=CC4=C(C5C3C6C(C(C5C7=CC=CC=C67)O)O)C8=C(C=C(C=C8)C9=CC=CC=C9)C1=CC=CC=C1)C1=CC=CC=C1
117442273,CC1=CC(=C(C(=C1C)OC)OC)C2=NNC(=C2)C(=O)O
137489062,CC(C)OC1CNCC1N
141696118,[2H]C1=C(C(=C(C(=C1[2H])[2H])C2=CC(=C(C=C2)N3C4=CC=CC(=C4N=C3C5=C(C(=CC(=C5)C(C)(C)C)C(C)(C)C)O)C6=CC(=CC(=C6)C(C)(C)C)C7=NC=CC(=C7)C8=CC=CC(=C8)C)C9=C(C(=C(C(=C9[2H])[2H])[2H])[2H])[2H])[2H])[2H]
55223620,CCCC(C)COC1=C(C=CC(=C1)CBr)OC
144745383,COC(=O)C1=C(NC(=N[C@H]1C2=C(C=C(C=C2)F)Cl)C3=NC=CS3)CN4[C@@H]5C[C@@H](C56[C@H]4COC6)N[SH+](=O)C
42799276,CC1=CC(=CC=C1)N2C(=NN=C2SCC3=CC=CC=C3Cl)C4CC4
42640758,CC(C)[C@H](C1=NC2=C(C(=NN2C(=O)N1CC3=CC=CC=C3)OC)Cl)N(CCCN)C(=O)C4=CC=C(C=C4)Cl
116500859,CCCOC(=O)C1=CC=C(C=C1)NCC(C)COC
145832535,COC1=CC2=C(C=C1)N(C(=C2)C(=O)N3CCC(CC3)NC4=CC=C(C=C4)CCN)OC=O
172615351,CC1=NN2C(=CC(=NC2=C1C#N)COC)C(=O)O
159482481,CN1C2=CC=CC=C2N=C1SCC(=O)N3CCC[C@H]3C(=O)CC4=CC=CC=C4C5=CC=CC=C5
18119046,COC1=C(C(=C(C(=C1)C(=O)NCC(=O)NCC2=CC=CO2)[N+](=O)[O-])OC)OC
155614958,CC(C)(C)OC(=O)N1C[C@H]([C@@H](C1)O)NC(=O)N2C[C@@H]3[C@H](C2)C3NC(=O)C4=C(C=C(C=C4)NC(=O)C5=NC=C(N5C)C6=CN(N=C6C(F)(F)F)[C@H]7CC7(F)F)Cl
39966168,C[C@@H]1CC2=CC=CC=C2N1C(=O)C3=CC=CC(=C3)CS(=O)(=O)C
161394019,[B][B]B([B])B([B])[B].[B]B([B])B([B])B([B])[B].CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)C#C.CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)C#C[Si](C)(C)C
139598431,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)N3CC(C4(C3)CCOCC4)C(=O)O
171170335,CCCC(C)[C@H](C1=CC(=C(C=C1)F)OC)N2CCNCC2
129145984,CN(C)C(=O)C1=C(C=C(C=C1)N2CCC(CC2)C3CCN(CC3)C(=O)C4(CCCC4)C5=CC=CC=C5)Cl
102805950,CC1=NN(C=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N)C
116454472,CC(CC1=CC(=CC(=C1)F)OCC2CC2)N
97263150,CC[C@@H](C1=CC=CC=C1)C(=O)OCC(=O)NCC2=CC=CC=C2Br
61165228,CC(C)N1CCC(CC1)N(C)C(=O)[C@H](CCSC)N
53054233,CC1=C(C(=NO1)C)C2=CC(=C(C=C2)OC)S(=O)(=O)NC3=C(C=C(C=C3)F)Cl
102922313,CCC1C2CNCC2CN1C(=O)C3=CN=CN=C3
7940573,C[C@H]1CCCC[C@@H]1NC(=O)[C@@H](C)SC2=NN=C(O2)C3=CC=C(C=C3)Cl
108444103,COC1=CC(=C(C=C1)NC2=C(C(=O)N(C2=O)C3=CC(=CC=C3)F)C4=CC=C(C=C4)Cl)OC
133536149,C1CN(CCN1C2=NC=NC(=C2Cl)N)C(=O)C3=C(C=C(C=C3)F)Cl
75371176,CC1=CC(=C(O1)C)C(C)C(=O)NS(=O)(=O)CC(C)(C)C
73912156,C1=CC(=CN=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)[N+](=O)[O-])C(=O)O
114158216,CCC1=NC(=C(C(=N1)OCCC2CC2)C)NCC
