tSNE1,tSNE2,group
-69.82863,-59.52314,PubChem candidate
13.146264,64.15797,PubChem candidate
-9.967072,-104.22267,PubChem candidate
-25.935429,-22.5471,PubChem candidate
68.03641,1.0928969,PubChem candidate
-53.70863,68.20517,PubChem candidate
-10.443035,-28.081648,PubChem candidate
15.671472,-8.45443,PubChem candidate
-8.344569,-100.76833,PubChem candidate
3.5527585,0.05242717,PubChem candidate
-36.88158,-19.432163,PubChem candidate
-41.90667,-67.77528,PubChem candidate
-51.377647,-79.84226,PubChem candidate
62.552475,5.3543983,PubChem candidate
4.4676538,9.317212,PubChem candidate
-1.7140753,18.53488,PubChem candidate
-73.110886,4.4129252,PubChem candidate
46.687077,-82.740486,PubChem candidate
36.918224,-73.96099,PubChem candidate
-68.50109,18.11017,PubChem candidate
13.368799,15.600108,PubChem candidate
-101.81421,-40.491184,PubChem candidate
-56.013245,-62.713493,PubChem candidate
-126.83601,0.34198967,PubChem candidate
92.71574,-42.53974,PubChem candidate
-107.46355,-20.592497,PubChem candidate
-41.38185,68.39922,PubChem candidate
-52.267967,-79.84562,PubChem candidate
-9.36026,-25.24045,PubChem candidate
-21.324575,-30.669315,PubChem candidate
-71.502365,-47.533115,PubChem candidate
-47.95973,-81.96751,PubChem candidate
33.353527,37.927532,PubChem candidate
-9.87219,-92.85305,PubChem candidate
7.1278853,-111.94129,PubChem candidate
-74.16898,-62.77734,PubChem candidate
-39.183304,-12.5427065,PubChem candidate
-51.75717,79.71545,PubChem candidate
-48.13903,-28.347294,PubChem candidate
-15.77271,44.593685,PubChem candidate
-50.191555,-75.02313,PubChem candidate
-51.830376,-10.765846,PubChem candidate
-47.40414,-11.4630995,PubChem candidate
63.793854,-61.53216,PubChem candidate
94.4862,18.94044,PubChem candidate
15.999521,-8.061752,PubChem candidate
-28.323,70.44313,PubChem candidate
-1.8243425,96.96253,PubChem candidate
-21.973824,91.171265,PubChem candidate
47.631218,78.87462,PubChem candidate
91.97677,26.651577,PubChem candidate
37.76346,18.439196,PubChem candidate
-94.38282,-29.193022,PubChem candidate
16.245962,-107.19694,PubChem candidate
47.556194,98.90857,PubChem candidate
-42.983875,-65.560005,PubChem candidate
-6.8396153,-93.41216,PubChem candidate
-66.41807,10.286574,PubChem candidate
54.025936,35.345043,PubChem candidate
-70.747185,12.270689,PubChem candidate
-18.507797,-22.451221,PubChem candidate
-50.651676,67.379684,PubChem candidate
-44.23263,-79.71541,PubChem candidate
5.800689,-63.785282,PubChem candidate
8.08716,101.08791,PubChem candidate
-2.1114376,28.422962,PubChem candidate
-101.24347,-39.095005,PubChem candidate
-21.167284,-93.95127,PubChem candidate
-94.72208,26.835564,PubChem candidate
-38.24145,38.55374,PubChem candidate
-17.36296,-87.804665,PubChem candidate
-2.9731507,-100.76155,PubChem candidate
1.5087389,-106.57388,PubChem candidate
-25.556707,-80.89476,PubChem candidate
14.556576,-7.674741,PubChem candidate
-17.771688,59.972404,PubChem candidate
54.02931,-27.15952,PubChem candidate
51.761826,-18.045918,PubChem candidate
26.647116,-51.734207,PubChem candidate
-99.98338,-39.323536,PubChem candidate
-48.474842,-33.779873,PubChem candidate
68.6605,8.037487,PubChem candidate
2.648199,-71.06455,PubChem candidate
-65.65025,6.0444217,PubChem candidate
-28.75858,-43.132675,PubChem candidate
51.772354,-6.331508,PubChem candidate
105.613686,-0.90877193,PubChem candidate
-93.7232,0.65784526,PubChem candidate
-50.822453,-27.929907,PubChem candidate
57.23635,-51.364025,PubChem candidate
5.6065774,-50.407127,PubChem candidate
-94.174545,-30.971214,PubChem candidate
31.329552,45.36669,PubChem candidate
-13.344231,1.2777052,PubChem candidate
-8.204907,74.19398,PubChem candidate
13.71531,4.848297,PubChem candidate
-125.61332,0.42317384,PubChem candidate
12.820246,-55.651497,PubChem candidate
-93.784424,-30.652725,PubChem candidate
-56.422485,65.27785,PubChem candidate
-60.69714,35.8599,PubChem candidate
-66.004395,-2.1848953,PubChem candidate
92.023155,26.72704,PubChem candidate
-76.468094,-13.383872,PubChem candidate
-40.446957,21.33259,PubChem candidate
-31.858353,-25.563713,PubChem candidate
-27.382284,70.47737,PubChem candidate
33.165783,44.012547,PubChem candidate
42.896965,86.07641,PubChem candidate
-38.22411,-20.437239,PubChem candidate
15.465811,16.479143,PubChem candidate
-51.176037,70.07481,PubChem candidate
65.71618,9.772412,PubChem candidate
-105.611336,-7.69141,PubChem candidate
-52.00877,78.204216,PubChem candidate
-2.2241373,107.89651,PubChem candidate
-88.16486,-18.134556,PubChem candidate
-50.058914,-75.26631,PubChem candidate
-93.73963,28.233477,PubChem candidate
-20.137396,90.46739,PubChem candidate
-131.47122,-0.65974367,PubChem candidate
20.963264,42.116947,PubChem candidate
-73.39069,-10.22708,PubChem candidate
54.560406,-6.497388,PubChem candidate
105.49803,37.269802,PubChem candidate
33.601044,-42.96919,PubChem candidate
-93.75239,-29.67335,PubChem candidate
-24.010303,-82.162926,PubChem candidate
2.372729,-64.57013,PubChem candidate
-30.188791,-89.94925,PubChem candidate
8.416747,-69.1393,PubChem candidate
11.6572695,-103.3327,PubChem candidate
117.90309,32.223873,PubChem candidate
20.791206,6.348776,PubChem candidate
-30.36997,-85.35258,PubChem candidate
56.74165,-21.074907,PubChem candidate
55.94667,-25.873596,PubChem candidate
-16.040787,17.465223,PubChem candidate
-29.993395,-6.3349943,PubChem candidate
16.847343,-38.21009,PubChem candidate
-8.309948,-33.457012,PubChem candidate
23.486624,42.63483,PubChem candidate
87.65488,52.1375,PubChem candidate
-32.49465,-72.49094,PubChem candidate
96.511505,-38.705555,PubChem candidate
-12.354661,69.28679,PubChem candidate
69.83118,29.884905,PubChem candidate
-11.931195,-4.7639356,PubChem candidate
-19.711775,75.64408,PubChem candidate
