record_index,lig_SMI,Sol_SMI,c_lig,c_HNO3,c_Metal_mM,D,logD
261,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,0.169099,4.5,0.6532125137753437
262,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.955147,2.0,,1.45847978802183,0.1639004149377578
263,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,587.234,1.7,0.2304489213782739
264,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCCCCCCCCC,1.0,3.0,4.2,71.51,1.85436677804087
265,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,2.0,0.01,13.6089791863613,1.133825549864817
266,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,6.0,,3.95866056657986,0.5975482649800063
267,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.5,64.3777,11.94,1.07700432679335
268,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.233086,2.0,0.01,0.121738494973251,-0.9145720716388055
269,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,CC1=CC=CC=C1,0.5,7.0,50.0,2.510634208012,0.3997834418988355
270,CCCCCCN(CCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,,0.5,,0.0783749503693016,-1.105822721176797
271,CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.1,3.0,0.01,10.1114896457746,1.004815141474574
272,CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,CCCCCCCCCCCC,0.5,0.487469,,0.0166949440108585,-1.777415033082565
273,CCCCN(CCCC)C(=O)CCC,CC1=CC=CC=C1,0.497431,3.0,,5.43945604402439,0.735555471593347
274,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.1163,2.0,0.01,0.0304029390287046,-1.517084431448743
275,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,1.0,0.01,0.125264090350313,-0.9021734110319146
276,CCCCCCCCCCCC(=O)N(CCCC)CCCC,CC1=CC=CC=C1,0.2,,,0.85012968144226,-0.07051482059282402
277,CCCCCCN(CCCCCC)C(=O)CCC,CCCCCCCCCCCC,0.5,2.0,,0.51,-0.2924298239020636
278,CCCCC(CN(C(CCC)=O)CC(CCCC)CC)CC,CCCCCCCCCCCC,,5.0,,6.75540115630387,0.8296511438534148
